Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
configuring.usp_UPD_file_ms_list_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_attr_fg_link,configurator,@filtergroupid:System.Int64;@file_radiobattrid:System.Int64;@newfile_radiobattrid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_attr_list,configurator,@recordid:System.Int64;@radioblistid:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_attr_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_attr_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_list_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_list_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_rb_restriction,configurator,@recordid:System.Int64;@restricted:System.Boolean,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_real_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_text_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_filter_group_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_filter_group_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_form_group_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_form_group_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_unit_of_measure,configurator,@recordid:System.Int64;@unitofmeasure:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_unlock_document_id,configurator,@documentid:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_wf_step_status_def_psn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_wf_step_status_defn,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_action,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_action_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_model_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_model_nm_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_output_def,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_output_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_rule,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_rule_link,configurator,@workflow_rule_id:System.Int64;@step_transitionid:System.Int64;@new_workflow_rule_id:System.Int64;@new_step_transitionid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_rule_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_step_def,configurator,@model_step_id:System.Int64;@workflow_model_id:System.Int64;@model_stepmnem:System.String;@model_stepname:System.String;@model_stepdescr:System.String;@model_steporder:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_workflow_step_transn,configurator,@step_transitionid:System.Int64;@workflow_actionid:System.Int64;@steptransition_mnem:System.String;@steptransition_name:System.String;@steptransition_descr:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_xref_type_list_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_xref_type_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_common_obj_list_item,controller,@commonobjlistid:System.Int64;@commonobjectid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_common_object,controller,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_contr_doc_group_link,controller,@documentid:System.String;@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_contr_file_group_link,controller,@fileid:System.String;@recordid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_doc_gp_ed_perm_funct,controller,@docgroupid:System.Int64;@functionlistid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_doc_gp_ed_perm_people,controller,@docgroupid:System.Int64;@peoplelistid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_doc_group_name_rstr,controller,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_duty_function,controller,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_duty_function_sid_link,controller,@functionid:System.Int64;@sidrecordid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_file_gp_ed_perm_funct,controller,@filegroupid:System.Int64;@functionlistid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_file_gp_ed_perm_people,controller,@filegroupid:System.Int64;@peoplelistid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_file_group_name,controller,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_fm_dc_c_ob_ms_def,controller,@formid:System.Int64;@commonobjlistid:System.Int64;@commonobjectid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_fm_dc_c_ob_ms_lnk,controller,@formid:System.Int64;@commonobjlistid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_fm_dc_c_ob_rb_lnk,controller,@formid:System.Int64;@commonobjlistid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_fm_doc_crtd_by_id_link,controller,@formid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_fm_doc_crtd_by_nm_link,controller,@formid:System.Int64,@message:System.String;@transaction_status:System.String,0
controlling.usp_DEL_fm_doc_funct_lst_links,controller,@formid:System.Int64;@genfield_nameid:System.Int64,@message:System.String;@transaction_status:System.String,0
