CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
all-files-by-file-grp-form,Files for File Group,Controller;Editor;Reader;Reviewer,FORM,all-files-by-file-grp-form,,List the files linked to a given file group.,,Read;List;Select;Search,Files,FileGroups,
all-files-by-fnct-list-name-form1,Files By Function List General Field Name -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-fnct-list-name-form,,List files for a duty function list related general field name.  No filter group is applied.,,Read;List;Select;Search,Files,DutyFunctionField;GeneralFieldName,
all-files-by-funct-fld-name-form,Files By Duty Function General Field Name -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-funct-fld-name-form,,List files for a duty function related general field name.  No filter group is applied.,,Read;List;Select;Search,Files,DutyFunctionField;GeneralFieldName,
all-files-by-funct-lst-form,Files By Function List -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-funct-lst-form,,Return metadata for files for a given function list. No filter group is applied.,,Read;List;Select;Search,Files,DutyFunctionList,
all-files-by-ms-list-form1,Files for Multi-Select Attribute -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-ms-list-form,,Return metadata for files which are linked to a given multi-select attribute. No filter group is applied.,,Read;List;Select;Search,Files,FileMultiSelectList,
all-files-by-pple-list-field-name-form,Files By People List General Field Name -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-pple-list-field-name-form,,List files for a people list related general field name.  No filter group is applied.,,Read;List;Select;Search,Files,PeopleList;GeneralFieldName,
all-files-by-pple-list-form,Files By People List -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-pple-list-form,,Return metadata for files for a given people list.,,Read;List;Select;Search,Files,PeopleList,
all-files-by-radio-btn-form1,Files for Radio Button Attribute -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-radio-btn-form,,Select all of the files for a given radio button attribute. Does not apply a filter group.,,Read;List;Select;Search,Files,FileRadioButtonList;FileRadioButtonAttribute,
all-files-by-txt-field-form,Files By Text Field -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-by-txt-field-form,,Return metadata for files where a given text field contains a given text string.,,Read;List;Select;Search,Files,FileFreeTextField,
all-files-by-user-fgn-form,All Files By User Field Name,Reader;Reviewer;Editor;Controller,FORM,all-files-by-user-fgn-form,,Return metadata for files linked to a given user field name.,,Read;List;Select;Search,Files;Users,GeneralFieldName,
all-files-by-user-form,All Files By User,,FORM,all-files-by-user-form,,Return metadata for files linked to a given user.,,Read;List;Select;Search,Files;Users,GeneralFieldName,
all-files-date-after-form,Files Date After -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-date-after-form,,Return metadata for files where a date record is after a given date.,,Read;List;Select;Search,Files,FileDateField,
all-files-date-before-form1,Files Date Before -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-date-before-form,,Return metadata for files where a date record is before a given date.,,Read;List;Select;Search,Files,FileDateField,
all-files-date-between-form,Files Date Between -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-date-between-form,,Return metadata for files where a date record is between given dates.,,Read;List;Select;Search,Files,FileDateField,
all-files-date-equals-form,Files Date Equals -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-date-equals-form,,Return metadata for files where a date record equals a given date.,,Read;List;Select;Search,Files,FileDateField,
all-files-for-one-doc-form1,Files for Document -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-for-one-doc-form,,List file metdata of all the files linked to the document id.,,Read;List;Select;Search,Documents;Files,,
all-files-for-user,All Files for Connected User,,READ,all-files-for-user,,Return metadata for files linked to the connected user.,,Read;List;Select;Search,Files;Users,GeneralFieldName,
all-files-int-between-form,Files integer between -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-int-between-form,,Select file IDs and metadata where the value for a given integer field is between two given integer values.  No filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
all-files-int-equals-form,Files Integer Equals -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-int-equals-form,,Select file IDs and metadata where a given integer field equals a given integer value.  No filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
all-files-int-grtr-than-form1,Files Integer Greater Than -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-int-grtr-than-form,,Select file IDs and metadata where a given integer field is greater than a given integer value.  No filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
all-files-int-less-than-form,Files integer Less Than -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-int-less-than-form,,Select file IDs and metadata where a given integer field is less than a given integer value.  No filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
all-files-real-between-form,Files Real Number Between -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-real-between-form,,Select file IDs and metadata where the value for a given real number field is between two given values. No filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
all-files-real-equals-form1,Files Real Number Equals -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-real-equals-form,,Select file IDs and metadata where the value for a given real number field equals a given value. No filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
all-files-real-greater-form,Files Real Number Greater Than -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-real-greater-form,,Select file IDs and metadata where the value for a given real number field is greater than a given value.  No filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
all-files-real-less-form,Files Real Number Less Than -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-files-real-less-form,,Select file IDs and metadata according to where a real number of less than a given value.  Applies a filter group.,,Read;List;Select;Search,Files,FileRealNumberField,
